Interface usage;;;;;
TotalNumberOfAddActions;24;;;;
TotalNumberOfTotalChangeActions;7;;;;
TotalNumberOfManualChangeActions;2;;;;
TotalNumberOfAutomatedChangeActions;5;;;;
TotalNumberOfRemoveActions;2;;;;
Time spent;;;;;
TotalTimeSpent;33335350285;;;;
TimeSpentTotalPerLocation;;;;;
throneroom1;4259500765;;;;
bedroomprincess1;2716042191;;;;
guestroom1;0;;;;
diningroom1;0;;;;
kitchen1;0;;;;
prison1;5407637478;;;;
corridor1;6974230289;;;;
TimeSpentOnActionsPerLocation;;;;;
Location;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
throneroom1;2538261084;244661645;244661645;265175532;0
bedroomprincess1;2021708890;0;0;0;0
guestroom1;0;0;0;0;0
diningroom1;0;0;0;0;0
kitchen1;0;0;0;0;0
prison1;2155752735;630187226;630187226;0;809972363
corridor1;3156047921;2285975905;794031384;1491944521;0
Semantic usage;;;;;
TimesATangibleObjectIsUsed;;;;;
floor;7;;;;
throne;2;;;;
chair;3;;;;
king;1;;;;
bed;3;;;;
prince;1;;;;
princess;4;;;;
table;2;;;;
cupking;1;;;;
writingdesk;2;;;;
type2closet;1;;;;
beddresser;1;;;;
poison;1;;;;
sofa;1;;;;
TimesARelationshipIsUsed;;;;;
on;2;;;;
on;3;;;;
left;1;;;;
on;6;;;;
on;3;;;;
on;2;;;;
left;1;;;;
on;1;;;;
on;2;;;;
on;1;;;;
on;1;;;;
on;1;;;;
on;1;;;;
UsageOfTangibleObjectsPerLocation;;;;;
throneroom1;floor;1;;;
throneroom1;throne;1;;;
throneroom1;chair;1;;;
throneroom1;king;1;;;
throneroom1;bed;1;;;
throneroom1;prince;1;;;
throneroom1;princess;1;;;
throneroom1;table;1;;;
throneroom1;cupking;1;;;
bedroomprincess1;floor;1;;;
bedroomprincess1;writingdesk;1;;;
bedroomprincess1;table;1;;;
bedroomprincess1;chair;2;;;
bedroomprincess1;type2closet;1;;;
bedroomprincess1;bed;1;;;
bedroomprincess1;beddresser;1;;;
bedroomprincess1;princess;1;;;
bedroomprincess1;poison;1;;;
guestroom1;floor;1;;;
diningroom1;floor;1;;;
kitchen1;floor;1;;;
prison1;floor;1;;;
prison1;bed;1;;;
prison1;sofa;1;;;
prison1;princess;1;;;
corridor1;floor;1;;;
corridor1;princess;1;;;
corridor1;throne;1;;;
corridor1;writingdesk;1;;;
UsageOfRelationshipsPerLocation;;;;;
throneroom1;on;1;;;
throneroom1;on;1;;;
throneroom1;left;1;;;
throneroom1;on;3;;;
throneroom1;on;1;;;
throneroom1;on;1;;;
throneroom1;left;1;;;
throneroom1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;2;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
bedroomprincess1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
prison1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
corridor1;on;1;;;
